id,name,namealt,nameloc,namelocalt,langloc,type,typeloc,iso3,area,daterec,datelast,srcgeom,note
,Arikok National Park,,,,nld,National Park,Nationaal Park,ABW,,2020-05-04,2023-09-09,pad-aruba,
,Spanish Lagoon Nature Reserve,,Het Spaans Lagoen,Spaans Lagoen,nld,"Ramsar Site; Nature Reserve","Ramsar-site; Natuurgebied",ABW,,"1980-05-23;2017",2023-09-09,pad-aruba,
,Bubali Bird Sanctuary,"IBA Bubali Plas; Bubali Wetlands",,,nld,Bird Sanctuary,Vogelreservaat,ABW,,2020-05-04,2023-09-09,pad-aruba,
,California Dunes Nature Reserve,,,,nld,Nature Reserve,Natuurgebied,ABW,,2020-05-04,2023-09-09,pad-aruba,
,Tierra del Sol Bird Sanctuary,,,,nld,Bird Sanctuary,Vogelreservaat,ABW,,2020-05-04,2023-09-09,pad-aruba,
,Saliña Bird Sanctuary,"Saliña Malmok; Saliña Cerca",,,nld,Bird Sanctuary,Vogelreservaat,ABW,,2020-05-04,2023-09-09,pad-aruba,
,Saliña Palm Beach Bird Sanctuary,"Saliña Palm Beach; Plas The Mill Resort",,,nld,Bird Sanctuary,Vogelreservaat,ABW,,2020-05-04,2023-09-09,pad-aruba,
,Sero Teishi Nature Reserve,,,,nld,Nature Reserve,Natuurgebied,ABW,,2020-05-04,2023-09-09,pad-aruba,
,Rooi Taki Nature Reserve,,,,nld,Nature Reserve,Natuurgebied,ABW,,"2017",2023-09-09,pad-aruba,This and the adjacent Rooi connect Spanish Lagoon and the National Park.
,Rooi Bringamosa Nature Reserve,,,,nld,Nature Reserve,Natuurgebied,ABW,,"2017",2023-09-09,pad-aruba,This and the adjacent Rooi connect Spanish Lagoon and the National Park.
,Rooi Manonchi Nature Reserve,Rooi Manoonchi Nature Reserve,,,nld,Nature Reserve,Natuurgebied,ABW,,2020-05-04,2023-09-09,pad-aruba,
,Oranjestad Reef Islands Bird Sanctuary,"Oranjestad Reefs IBA; IBA Island Reefs Oranjestad",,,nld,Bird Sanctuary,Vogelreservaat,ABW,,2020-05-04,2023-09-09,pad-aruba,
,Rooi Lamunchi Nature Reserve,,,,nld,Nature Reserve,Natuurgebied,ABW,,2020-05-04,2023-09-09,pad-aruba,
,Saliña Savaneta Nature Reserve,,,,nld,Nature Reserve,Natuurgebied,ABW,,2020-05-04,2023-09-09,pad-aruba,
,San Nicolas Bay Reef Islands Bird Sanctuary,,,,nld,Bird Sanctuary,Vogelreservaat,ABW,,2020-05-04,2023-09-09,pad-aruba,
,Coastal Areas of Ceru Colorado,,,,nld,Nature Reserve,Natuurgebied,ABW,,2020-05-04,2023-09-09,pad-aruba,
,"Protected Mangroves of Parkietenbos, Isla di Oro, Mangel Halto Mangroves, and Commandeursbaai",,,,nld,Nature Reserve,Natuurgebied,ABW,,2020-05-04,2023-09-09,pad-aruba,
